,accuracy,precision,recall,f1,name
0,0.9114043355325165,0.6962025316455697,0.632183908045977,0.6626506024096386,Stanza
1,0.9499518768046198,0.8,0.717948717948718,0.7567567567567569,Stanza
2,0.9606227106227107,0.775,0.7654320987654321,0.7701863354037267,Stanza
0,0.883129123468426,0.6590909090909091,0.3333333333333333,0.4427480916030534,SpaCy (small)
1,0.8922040423484119,0.7241379310344828,0.2692307692307692,0.3925233644859813,SpaCy (small)
2,0.9258241758241759,0.7777777777777778,0.43209876543209874,0.5555555555555556,SpaCy (small)
0,0.8887841658812441,0.6785714285714286,0.4367816091954023,0.5314685314685316,SpaCy (Large)
1,0.9153031761308951,0.7619047619047619,0.41025641025641024,0.5333333333333333,SpaCy (Large)
2,0.9258241758241759,0.7321428571428571,0.5061728395061729,0.5985401459854014,SpaCy (Large)
0,0.9792648444863337,0.9310344827586207,0.9310344827586207,0.9310344827586207,DistilBERT
1,0.9817131857555341,0.9230769230769231,0.9230769230769231,0.9230769230769231,DistilBERT
2,0.9789377289377289,0.9358974358974359,0.9012345679012346,0.9182389937106918,DistilBERT
0,0.9811498586239397,0.9195402298850575,0.9195402298850575,0.9195402298850575,BERT
1,0.9903753609239654,0.9620253164556962,0.9743589743589743,0.9681528662420382,BERT
2,0.9826007326007326,0.9605263157894737,0.9012345679012346,0.9299363057324841,BERT
0,0.9754948162111216,0.9111111111111111,0.9425287356321839,0.9265536723163842,RoBERTa
1,0.9855630413859481,0.9240506329113924,0.9358974358974359,0.9299363057324842,RoBERTa
2,0.9844322344322345,0.9135802469135802,0.9135802469135802,0.9135802469135802,RoBERTa
0,0.9594721960414703,0.8974358974358975,0.8045977011494253,0.8484848484848485,CRF biLSTM
1,0.9692011549566891,0.9154929577464789,0.8333333333333334,0.87248322147651,CRF biLSTM
2,0.9725274725274725,0.9154929577464789,0.8024691358024691,0.8552631578947367,CRF biLSTM
0,0.943449575871819,0.7974683544303798,0.7241379310344828,0.7590361445783133,CRF biLSTM (basic)
1,0.9470644850818094,0.8983050847457628,0.6794871794871795,0.7737226277372262,CRF biLSTM (basic)
2,0.9514652014652014,0.8115942028985508,0.691358024691358,0.7466666666666666,CRF biLSTM (basic)
